Title,Summary,Date
SMM Aluminum Market Morning Comment (July 15),"On last Friday night, the most-traded SHFE aluminum 2408 contract opened at 20,055 yuan/mt, reaching a high of 20,095 yuan/mt and a low of 19,925 yuan/mt, and closed at 20,085 yuan/mt, up 15 yuan/mt, an increase of 0.07%.",2024-07-15 07:04:00
SMM Morning Comment For SHFE Base Metals On July 12,"Overnight, LME copper opened at $9,866.5/mt, initially rose to $9,896.5/mt, then fluctuated downward, hitting a low of $9,764/mt at the end of the trading session, and finally closed at $9,777.5/mt, down 0.82%. Trading volume reached 19,000 lots, and open interest reached 333,000 lots. ",2024-07-12 07:21:00
SMM Aluminum Market Morning Comment (July 12),"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,250 yuan/mt, with a high of 20,300 yuan/mt, a low of 20,130 yuan/mt, and closed at 20,160 yuan/mt, down 45 yuan/mt from the previous trading day, a decrease of 0.22%.",2024-07-12 07:11:00
SMM analysis on June overseas metallurgical-grade alumina output and July forecast,"In June (30 days), the production of overseas metallurgical-grade alumina was approximately 4.68 million mt, up 0.7% YoY.",2024-07-11 15:13:00
SMM analysis on June overseas aluminium output and July forecast,"According to SMM, the total overseas aluminium output in June (30 days) was 2.452 million mt, up 1% YoY.",2024-07-11 15:13:00
SMM Morning Comment For SHFE Base Metals On July 11,"Overnight, LME copper opened at $9,822.5/mt, dipped lower than $9,822.5/mt, then fluctuated upwards to a high of $9,933/mt, before falling back at the end of the trading session to close at $9,858/mt, down 0.17%.",2024-07-11 07:21:00
SMM Aluminum Market Morning Comment (July 11),"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,140 yuan/mt, reached a high of 20,265 yuan/mt, a low of 20,140 yuan/mt, and closed at 20,170 yuan/mt, up 70 yuan/mt from the previous trading day, an increase of 0.35%.",2024-07-11 07:00:00
SMM analysis on China June alumina output and July forecast,"According to SMM, China's metallurgical-grade alumina output in June (30 days) was 6.842 million mt, with an average daily output of 228,100 mt/day, a slight increase of 2,600 mt compared to May.",2024-07-10 15:12:00
SMM analysis on China June aluminium output and July forecast,"According to SMM, China's aluminium output in June (30 days) was 3.553 million mt, up 5.56% YoY.",2024-07-10 15:11:00
Exclusive: SMM China June Metals Production and July Forecast,"Aluminum plays a pivotal role in numerous industries, making its price fluctuations a subject of significant interest. Understanding the dynamics of the aluminum market is essential for businesses and investors alike. This article explores the key factors influencing aluminum prices, historical trends, and the impact of economic policies.",2024-07-10 13:39:00
How Aluminum Price Fluctuations Impact Various Industries,"vernight, LME copper opened at $9,927/mt, initially reaching a high of $9,952/mt before declining, hitting a low of $9,819/mt near the end of the trading session, and finally closed at $9,875/mt, down 0.22%.",2024-07-10 08:26:00
SMM Morning Comment For SHFE Base Metals On July 10,"SHANGHAI, July 10 (SMM) –Overnight, the most-traded SHFE aluminum 2408 contract opened at 20,415 yuan/mt, reaching a high of 20,440 yuan/mt and a low of 20,270 yuan/mt, and closed at 20,300 yuan/mt, down 160 yuan/mt from the previous trading day, a decrease of 0.78%.",2024-07-10 07:22:00
"SMM aluminum market morning comment Jul 10: US Inflation Pressure Eases, Downstream Consumption Remains Sluggish","Overnight, LME copper opened at $9,965/mt, initially reaching a high of $10,000/mt, then reaching a low of $9,909/mt, and finally closed at $9,917/mt.",2024-07-10 07:11:00
SMM Morning Comment For SHFE Base Metals On July 9,"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,370 yuan/mt, reaching a high of 20,460 yuan/mt and a low of 20,350 yuan/mt, and closed at 20,365 yuan/mt, up 20 yuan/mt from the previous trading day, an increase of 0.10%.",2024-07-09 07:28:00
SMM Aluminum Market Morning Comment (Jul 9),"Last Friday night, the most-traded SHFE aluminum 2408 contract opened at 20,400 yuan/mt, reached a high of 20,480 yuan/mt, a low of 20,365 yuan/mt, and closed at 20,415 yuan/mt, up 115 yuan/mt from the previous trading day, with a gain of 0.57%. ",2024-07-09 07:22:00
Key Takeaway From 2024 SMM LME Asia Week: Global Metals And New Energy Market Outlook And Supply Trends  ,"Last Friday night, LME copper opened at $9,940.5/mt, rose initially to a high of $10,000/mt, then fluctuated downward to a low of $9,929.5/mt, rebounded at the end of the trading session, and finally closed at $9,970/mt, with a gain of 0.85%. Trading volume reached 24,000 lots, and open interest reached 328,000 lots. ",2024-07-08 19:33:00
SMM Morning Comment For Aluminum Market July 8,"On the first day of July, due to the slightly better-than-expected destocking speed over the past half month, aluminum billet inventory were no longer at a four-year high for the same period.",2024-07-08 07:18:00
SMM Morning Comment For SHFE Base Metals On July 8,"In July, domestic aluminum ingots inventory still failed to drop. As of July 4, 2024, SMM statistics showed the total social inventory of aluminum ingots at 773,000 mt, (the amount for sale stood at 647,000 mt), up 10,000 mt WoW and 4,000 mt from July 1.",2024-07-08 07:17:00
"Aluminum extrusion industry operating rate continued to weaken, while aluminium billet conversion margins in south China rose","In H1 2024, alumina prices showed an upward trend. The prices were relatively stable in Q1, while in Q2, they surged significantly and then stabilized.",2024-07-05 15:22:00
"Domestic aluminum ingots inventory still failed to drop in July, and the Guangdong-Shanghai price spread first narrowed and then widened","This week, macroeconomic front was stable overall. Although the US ADP employment data led to increased market expectations for a US Fed rate cut, the Fed's stance on rate cuts remains unclear and has not impacted market sentiment.",2024-07-05 15:21:00
Analysis and outlook of domestic alumina price trends in H1 2024,"Indonesia unveiled Southeast Asia's first electric vehicle battery manufacturing facility on July 3, 2024, as a landmark for the region's automotive industry.",2024-07-05 15:17:00
Aluminum market prices to move rangebound amid weak fundamentals and unstable macro sentiment,"Overnight, LME copper opened at $9,874.5/mt, initially rose to a session high of $9,918/mt, then declined to a session low of $9,851/mt, and slightly rebounded by the end of the trading session, closing at $9,886/mt, with a gain of 0.35%. Trading volume reached 14,000 lots, and open interest reached 326,000 lots.",2024-07-05 15:15:00
Southeast Asia's first electric vehicle battery plant inaugurated in Indonesia,"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,405 yuan/mt, reaching a high of 20,520 yuan/mt and a low of 20,340 yuan/mt, and closed at 20,395 yuan/mt, down 25 yuan/mt or 0.12% from the previous close.",2024-07-05 14:30:00
SMM Morning Comment For SHFE Base Metals On July 5,"Since initiating their partnership last year, Emirates Global Aluminium (EGA) and RECAPP, Veolia's digital recycling solution, have completed over 14,000 collections from schools and homes.",2024-07-05 07:29:00
SMM Aluminum Market Morning Comment (July 5),"According to data from June 28, the weekly port arrivals of bauxite at domestic ports totaled 4.1828 million mt, an increase of 808,400 mt from the previous week.",2024-07-05 07:15:00
EGA & RECAPP lead aluminium recycling drive surpasses 14000 collections from schools and homes,"The world's leading provider of sustainable aluminium solutions and a global leader in aluminium rolling and recycling, Novelis Inc., has announced significant executive leadership appointments to foster global growth and promote aluminium as the preferred material for circular solutions.",2024-07-04 15:26:00
SMM: The outlook for a full-scale resumption of domestic bauxite production remains unclear; ore prices may pick up slightly,"Since partnering in late 2023, KPMG in Qatar employees have collected nearly 9,000 plastic bottles and aluminium cans, saving over 1,300 kg of CO2 emissions.",2024-07-04 09:04:00
Novelis Inc. names Roberta Soares and Cary Chenanda as Regional Presidents for South and North America,"Overnight, LME copper opened at $9,817/mt, with the initial session low at $9,729.5/mt. It then climbed steadily, reaching a session high of $9,912.5/mt by the end of the trading session, before slightly fluctuating and finally closing at $9,852/mt, with a gain of 1.98%. Trading volume reached 24,000 lots, and open interest reached 326,000 lots.",2024-07-04 07:44:00
Sparklo and KPMG in Qatar celebrate sustainability milestone,"Overnight, the most-traded SHFE aluminum contract 2408 opened at 20,530 yuan/mt, reached a high of 20,550 yuan/mt, a low of 20,475 yuan/mt, and closed at 20,475 yuan/mt, down 15 yuan/mt, a decrease of 0.07%.",2024-07-04 07:38:00
SMM Morning Comment For SHFE Base Metals On July 4,"This morning, the most-traded SHFE aluminum contract fluctuated upwards after the opening, and rebounded after dipping in the second trading session.",2024-07-04 07:31:00
SMM Aluminum Market Morning Comment (July 4),"According to the SMM survey, the operating rate of China's primary aluminum alloy industry in June was 51.88%, up 1.68 percentage points MoM and 8.72 percentage points YoY.",2024-07-04 07:08:00
Will Indonesia ease its ban on bauxite exports? Seems unlikely.,"Recorp Aluminium, New Zealand's most progressive can-manufacturing company founded and funded by the country's brightest beverage container specialists, is on the brink of launching its $100 million-plus facility into operation in South Auckland.",2024-07-03 21:30:00
"The spot market transactions in east and central China were moderate, with a slight narrowing of the discount [SMM Aluminum Spot Market Midday Review]","In the very recent Science and Technology Award of China Environmental Protection Federation 2023, Chinalco Shandong received prestigious recognition by winning the first prize for its scientific and technological progress in the comprehensive red mud utilisation project ""Green Technology and Engineering Demonstration of Efficient Production of New Powder Materials by Bayer Process Red Mud"".",2024-07-03 11:36:00
The operating rate of primary aluminum alloy was still supported in the off-season [SMM Analysis],"Overnight, LME copper opened at $9,708.5/mt, peaking at $9,749.5/mt, then declining to a session low of $9,654/mt, and finally closed at $9,660.5/mt, up 0.25%.",2024-07-03 09:22:00
"New Zealand is set to house a new state-of-the-art, multimillion-dollar can manufacturing plant","Overnight, the most-traded SHFE aluminum contract 2408 opened at 20,440 yuan/mt, reached a high of 20,460 yuan/mt, a low of 20,370 yuan/mt, and closed at 20,375 yuan/mt, down 20 yuan/mt from the previous day, a decrease of 0.1%",2024-07-03 08:05:00
Chinalco Shandong’s red mud utilisation project attains special recognition for scientific and technological progress,"In July, domestic aluminum ingots still failed to destock.",2024-07-03 08:01:00
SMM Morning Comment For SHFE Base Metals On July 3,"Last week, the operating rate of leading domestic aluminum wire producers increased by 0.6% to 67.2%.",2024-07-03 07:34:00
SMM Aluminum Market Morning Comment (July 3),The machine and system manufacturer from Buschhütten is expanding its logistics centre to increase flexibility and efficiency in supplying customers worldwide.,2024-07-03 07:08:00
"Domestic aluminum ingots still failed to destock in July, while aluminum billet inventory finally shook off the unfavorable position of the same period. [SMM Analysis]","Yango, the international ride-hailing service, has partnered with Sparklo, a global cleantech company revolutionising the recycling industry.",2024-07-02 11:14:00
"The aluminium rod market revived, and processing fees have shown signs of recovery [SMM Analysis]","Overnight, LME copper opened at $9,656/mt, with the initial session seeing a rise in the trading range, peaking at $9,690.5/mt. The price then dipped, hitting a session low of $9,618/mt at the end of trading, and finally closed at $9,636/mt, up 0.52%.",2024-07-02 09:03:00
Achenbach opens new logistics centre in Kreuztal-Kredenbach,"The most-traded SHFE 2408 aluminum contract opened at 20,355 yuan/mt overnight, reaching a high of 20,400 yuan/mt and a low of 20,300 yuan/mt, and closed at 20,315 yuan/mt, down 5 yuan/mt, a decrease of 0.02%.",2024-07-02 07:29:00
"Sparklo and Yango partner to offer ride discounts, supporting UAE's ESG goals through recycling","The Material Recycling Association of India (MRAI), the leading national recycling association representing the interest of the recycling industry, is committed to achieving circularity in recycling to foster sustainability and a green economy.",2024-07-02 07:19:00
SMM Morning Comment For SHFE Base Metals On July 2,"The Recycling Today Media Group has announced that registration is officially open for Scrap Expo 2024, the metals recycling and auto dismantling industry's only live demonstration event.",2024-07-02 07:18:00
SMM Aluminum Market Morning Comment (July 2),"In the past half month, the destocking of domestic aluminium billets slightly exceeded expectations.",2024-07-02 07:04:00
MRAI's IBS2024 aims to promote circularity and the use of recycled materials to reduce carbon footprints,"The macroeconomic aspect was relatively stable last week, with no significant fluctuations.",2024-07-01 13:10:00
Registration is open for Scrap Expo 2024,"Market: The most-traded alumina contract 2408 opened at 3,835 yuan/mt in the night session, reaching a high of 3,844 yuan/mt and a low of 3,798 yuan/mt, and closed at 3,819 yuan/mt, up 24 yuan/mt, an increase of 0.63%.",2024-07-01 13:07:00
The destocking of aluminum billets exceeded expectations,Destocking faced obstacles again this week.,2024-07-01 13:04:00
Aluminum prices likely to fall amid poor fundamentals,"The Jamaica Environment Trust (JET) received a disturbing video early on June 24, 2024, showing the greenish-coloured, polluted waters of the Rio Cobre at Zephyrton, St. Catherine.",2024-07-01 12:58:00
SMM Aluminum Market Morning Comment (July 1),"Overnight, LME copper opened at $9,560/mt, initially fluctuating upwards to a high of $9,610/mt, then declining throughout the session, hitting a low of $9,496/mt near the end of trading, and finally closing at $9,514/mt.",2024-07-01 06:59:00
"Aluminum ingot destocking encountered obstacles, with sufficient supply and spot discount continuing to widen",A major incident has closed both northbound and southbound lanes of I-165 at the Fairview Drive overpass.,2024-06-28 13:51:00
"Pollution incident reported in Rio Cobre waters, St. Catherine","Overnight, the most-traded SHFE aluminum contract 2408 opened at 20,235 yuan/mt, reached a high of 20,285 yuan/mt, a low of 20,175 yuan/mt, and closed at 20,195 yuan/mt, down 65 yuan/mt, a decrease of 0.32%.",2024-06-28 12:56:00
SMM Morning Comment For SHFE Base Metals On June 28,Southeast Asia is an important hub for the transshipment and processing of secondary aluminum raw materials globally.,2024-06-28 07:22:00
Molten aluminium spill closes I-165 northbound at Fairview Drive overpass in Daviess County,The development of Indonesia’s aluminium downstream industry holds substantial promise despite the slow progress seen in recent years.,2024-06-28 07:17:00
SMM Aluminum Market Morning Comment (Jun 28),"Following the launch of EcoSource NMA in 2022, Alcoa has made its first sales of EcoSource non-metallurgical alumina (NMA) with six customers between 2023 and 2024.",2024-06-28 07:09:00
"2024 SMM Secondary Aluminium Study Tour (Malaysia): WINMEX METAL (MY) CO., LTD.","Overnight LME copper opened at $9556 /mt, touching a low of $9508/mt during the session, and finally closed at 9595 /mt at the end of the session, with a trading volume of 21,000 lots and a position of 326,000 lots.",2024-06-27 11:23:00
"Alumina refinery projects make no headway: ESDM Ministry, Indonesia","The overnight SHFE 2408 most-traded aluminum contract opened at 20,320 yuan/mt, with a high of 20,380 yuan/mt, a low of 20,250 yuan/mt, and closed at 20,300 yuan/mt, up 70 yuan/mt, an increase of 0.35%.",2024-06-27 07:51:00
Alcoa makes first EcoSource® non-metallurgical alumina (NMA) sales,"China is the world's largest producer of alumina, but the issue of red mud (also known as bauxite tailings) disposal has always been a major concern.",2024-06-27 07:46:00
SMM Morning Comment For SHFE Base Metals On June 27,"This year, the performance of domestic aluminum ingot inventory always seems to be ""short-lived,"" as destocking faced obstacles again.",2024-06-27 07:35:00
SMM Aluminum Market Morning Comment (June 27),"Customs data shows that in May 2024, China's aluminum foil exports reached 130,100 mt, up 7% MoM and 15% YoY.",2024-06-27 07:14:00
"Red mud storage has become a big headache amid rapidly expanding alumina capacity in China, the world’s top alumina producer","EBNER GROUP, a global leader in melting, casting, and heat treatment solutions for the aluminium industry with the companies EBNER, ETS, EED, Gautschi, TPS, Hazelett, HPI and GNA have increased their stake in GNA alutech inc. to 100 per cent.",2024-06-26 12:48:00
Pick-up from warehouses increased but inventory accumulated! What is hindering the destocking of domestic aluminum ingots? [SMM Analysis],"On June 24, 2024, India-based Craftsman Automation Limited announced signing a Memorandum of Understanding (MoU) with Sunbeam Lightweighting Solutions Private Limited and Kedaara Capital Fund II LLP.",2024-06-26 11:18:00
"Aluminum foil exports in May met expectations, with a risk of decline after August [SMM Analysis]","Overnight, LME copper opened at $9,656/mt, initially reaching a high of $9,656/mt before declining throughout the session.",2024-06-26 09:20:00
GNA alutech inc. is now fully owned by EBNER GROUP,"Overnight, the most-traded SHFE aluminum contract 2408 opened at 20,255 yuan/mt, reached a high of 20,345 yuan/mt, a low of 20,250 yuan/mt, and closed at 20,255 yuan/mt, down 105 yuan/mt, a decrease of 0.52%.",2024-06-26 08:54:00
Craftsman Automation eyes major aluminium die-casting business acquisition deal,"Secretary of State Diego Morales recently visited the Novelis aluminium production and recycling plant in Terre Haute, Indiana.",2024-06-26 08:50:00
SMM Morning Comment For SHFE Base Metals On June 26,"Overnight, LME copper opened at $9,673/mt, reaching a high of $9,728/mt, then touching a low of $9,640.5/mt, and finally closed at $9,644/mt, down 0.37%.",2024-06-26 07:44:00
SMM Aluminum Market Morning Comment (Jun 26),"Established in 2011, Zhengzhou Silverstone has earned the title of reputable trading company specializing in semi-finished aluminium products.",2024-06-26 07:14:00
Indiana Secretary of State Diego Morales explores Novelis aluminium facility in Terre Haute,"Overnight, the most-traded SHFE aluminum contract 2408 opened at 20,395 yuan/mt, reaching a high of 20,470 yuan/mt and a low of 20,330 yuan/mt, and closed at 20,350 yuan/mt, down 45 yuan/mt, a decrease of 0.22%.",2024-06-25 07:23:00
SMM Morning Comment For SHFE Base Metals On June 25,"China Hongqiao, a global leader in aluminium production with an annual capacity exceeding 6 million tonnes, is proud to announce the launch of the groundbreaking Hongqiao Smart Aluminium AI & L Model Development Project.",2024-06-25 07:18:00
AL Biz expands clientele: Welcomes Zhengzhou Silverstone into the circle of 2100+ B2B aluminium sellers,"The upstream aluminium sector, encompassing bauxite, alumina, and primary aluminium) recorded some significant milestones this week in terms of production, trading, inventories, and market developments.",2024-06-25 07:11:00
SMM Aluminum Market Morning Comment (Jun 25),"Last Friday evening, LME copper opened at $9,715.5/mt, initially reaching a high of $9,726.5/mt before declining to a low of $9,651/mt during the session.",2024-06-25 07:03:00
China Hongqiao unveils Hongqiao Smart Aluminium AI Project in strategic collaboration,"As of June 20, domestic aluminum billet social inventory was 151,800 mt, down 11,000 mt WoW and down 5,500 mt from Jun 17, still at a high level for the same period in nearly four years, narrowing the YoY gap to 13,800 mt.",2024-06-24 15:06:00
Upstream Aluminium Weekly Recap: Sarawak discovers valuable mineral assets; World primary aluminium output achieves a new high,"On June 20, 2024, SMM reported that the total social inventory of aluminum ingots was 756,000 mt, (the amount for sale stood at 629,000 mt), down 25,000 mt WoW and down 13,000 mt from Jun 17, but still nearly 250,000 mt higher YoY.",2024-06-24 15:04:00
SMM Morning Comment For SHFE Base Metals On June 24,"This week, the macroeconomic front was intertwined with both positive and negative factors.",2024-06-24 07:31:00
"Downstream operating rate has not picked up, making destocking of aluminum billets still challenging","Last Friday night, the most-traded SHFE 2408 aluminum contract opened at 20,430 yuan/mt, reaching a high of 20,470 yuan/mt and a low of 20,385 yuan/mt, and closed at 20,435 yuan/mt, down 120 yuan/mt, a decrease of 0.58%.",2024-06-24 07:26:00
"As destocking boosted market confidence after the holiday, spot prices stabilized","Overnight, LME copper opened at $9,801/mt, hit a session low of $9,777/mt at the beginning, then fluctuated upwards to a session high of $9,889/mt at the end of the trading session, and finally closed at $9,883.5/mt, with open interest at 320,000 lots.",2024-06-24 07:24:00
"Aluminum prices to remain weak in the short term, keeping an eye on inventory changes",Indian auto components manufacturer Rockman Industries has grown into a globally acclaimed supplier of high-quality automotive components.,2024-06-24 07:22:00
SMM Aluminum Market Morning Comment (June 24),"The UK Aluminium Federation (ALFED), representing the entire aluminium supply chain in the UK, has officially submitted a response to the UK Carbon Border Adjustment Mechanism (CBAM) Consultation.",2024-06-24 07:04:00
SMM Morning Comment For SHFE Base Metals On June 20,"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,595 yuan/mt, reaching a high of 20,630 yuan/mt and a low of 20,550 yuan/mt, and closed at 20,630 yuan/mt, up 35 yuan/mt, an increase of 0.17%.",2024-06-21 07:29:00
Rockman Industries elevates industry presence by joining AL Biz,"According to the SMM survey, the operating rate of the domestic aluminum wire and cable industry in May 2024 decreased by 0.38% MoM to 53.88%, up 6.12 percentage points YoY.",2024-06-21 07:17:00
UK Aluminium Federation (ALFED) submits response to UK CBAM Consultation,May was undoubtedly a challenging month for the domestic aluminum billet industry.,2024-06-21 07:12:00
SMM Aluminum Market Morning Comment (Jun 21),"Since April 2024, driven by favorable factors such as macroeconomic conditions and expectations of a recovery in domestic and international manufacturing sector, the price center of the aluminum market climbed.",2024-06-21 07:01:00
The operating rate of domestic aluminium wire and cable industry slightly declined in May [SMM Analysis],"According to China Customs, in May 2024, China exported 101,500 mt of alumina, with cumulative exports from January to May 2024 reaching 653,500 mt.",2024-06-20 11:22:00
Domestic aluminum billets production has declined for two consecutive months [SMM Analysis],"According to the General Administration of Customs of China, in May 2024, China imported 13.549 million mt of bauxite, down 4.84% MoM, up 4.63% YoY.",2024-06-20 11:07:00
Whether the spot aluminum market can smoothly transition to a premium market? [SMM Analysis],"In mid-June, especially after the Dragon Boat Festival holiday, domestic aluminum prices quickly retreated from their high levels.",2024-06-20 09:26:00
"From January to May 2024, cumulative imports of alumina increased by over 60%",Rio Tinto will invest US$165 million (CA$226 million) in its Grande-Baie aluminium smelter to refurbish two anode baking furnaces that have reached the end of their useful life.,2024-06-20 08:45:00
China's monthly bauxite imports in May 2024 (including country rankings),"Overnight, LME copper opened at $9,780/mt, rose slightly to a session high of $9,815.5/mt at the beginning, then dropped slightly to a session low of $9,742/mt during the day.",2024-06-20 08:33:00
"Aluminum prices experienced a significant pullback, with inventory leading the turnaround [SMM Analysis]","In line with global efforts to combat climate change, the European Union has introduced a significant measure—the Carbon Border Adjustment Mechanism (CBAM), designed to regulate the import of carbon-intensive products, such as aluminium, by charging a tariff based on the emissions produced during their manufacturing.",2024-06-20 08:14:00
Rio Tinto invests to maintain anode production at Grande-Baie smelter,"Overnight, the most-traded SHFE 2408 aluminum contract opened at 20,485 yuan/mt, reached a high of 20,585 yuan/mt, a low of 20,485 yuan/mt, and closed at 20,535 yuan/mt, up 60 yuan/mt, an increase of 0.29%.",2024-06-20 07:18:00
SMM Morning Comment For SHFE Base Metals On June 20,"In May 2024 (31 days), the total output of remelting billets nationwide was 175,800 mt, down 14,400 mt MoM from April 2024 (30 days), a decrease of 7.6%.",2024-06-20 07:17:00
India’s Vedanta Aluminium has its plan ready to face the EU’s CBAM challenge,"According to data from the General Administration of Customs, China imported 13.55 million mt of aluminum ore and concentrates in May, down 4.83% MoM, up 4.7% YoY.",2024-06-20 07:13:00
SMM Aluminum Market Morning Comment (Jun 20),"According to data from the General Administration of Customs, China imported 310,000 mt of unwrought aluminum and aluminum semis in May, a YoY increase of 61.1%.",2024-06-20 07:06:00
